grid;average_efficiencies;std_efficiencies;average_n_moves;std_n_moves;average_cleaned;std_cleaned;randomness_move;gamma
example-2x2-house-0.grid;90.59206349206347;15.95568717219068;4.04;1.4691494137765568;100.0;0.0;0.5;0.9; 
example-2x2-house-0.grid;73.02692862692862;24.43210510721656;5.95;2.9064583258667245;100.0;0.0;0.75;0.8; 
example-2x2-house-0.grid;66.05088361332811;26.162532565659838;7.27;4.406483859042263;100.0;0.0;0.75;0.9; 
example-2x2-house-0.grid;68.35220106690697;26.244098640166328;6.92;4.807660553741289;100.0;0.0;0.75;0.7; 
example-5x5-house-0.grid;50.99866961001222;26.659678754811797;20.75;18.0329559418305;68.33333333333331;18.782379449307744;0.25;0; 
example-5x5-house-0.grid;44.21158736538628;24.60165762779167;23.78;17.29889013780942;71.49999999999996;17.684739183827396;0.25;0.2; 
example-5x5-house-0.grid;46.27888955380788;26.38161671451915;21.79;16.51804770546447;58.33333333333334;15.184055965240498;0.25;0.4; 
example-5x5-house-0.grid;54.26304960702357;26.434765055574616;17.99;15.051574668452467;66.66666666666666;18.25741858350554;0.25;0.1; 
example-5x5-house-0.grid;58.13081530041119;23.23096334355575;14.53;9.362109804953155;69.49999999999999;18.265784650238515;0.5;0; 
example-5x5-house-0.grid;48.230547446658676;28.119295567156783;22.96;22.192304972670144;61.00000000000003;15.849991237291652;0.25;0.6; 
example-5x5-house-0.grid;48.08132574265972;23.515086815056357;20.34;17.551763444167083;61.33333333333334;17.61943371520335;0.25;0.3; 
example-5x5-house-0.grid;52.01989175786425;25.09444837970306;17.62;10.638402135659282;74.33333333333334;19.064218957105076;0.5;0.2; 
example-5x5-house-0.grid;62.352982609860995;24.637965209467758;13.7;9.959417653658269;71.66666666666666;19.790570145063196;0.5;0.1; 
example-5x5-house-0.grid;80.0;0.0;9.0;0.0;100.0;0.0;0;0.8; 
example-5x5-house-0.grid;40.254023254253994;24.143720240689486;24.96;16.082238650138233;60.83333333333335;16.89427911059441;0.25;0.5; 
example-5x5-house-0.grid;52.15648813450295;24.177729758271983;17.45;11.720388218826201;69.50000000000001;19.300978674092615;0.5;0.4; 
example-5x5-house-0.grid;59.43780670768265;25.815391144200643;14.65;9.981357623089156;68.33333333333334;17.716909687891082;0.75;0; 
example-5x5-house-0.grid;54.85468341487254;28.002931950449625;18.18;14.290822229668944;71.66666666666666;20.069324297987162;0.5;0.3; 
example-5x5-house-0.grid;36.46747950155449;16.7294892587012;26.87;16.392470832671933;95.66666666666669;13.868429375143146;0.25;0.8; 
example-5x5-house-0.grid;56.58248195845292;24.58715390139939;15.36;10.769883936236267;64.50000000000001;18.35680315910759;0.5;0.6; 
example-5x5-house-0.grid;40.14458841302682;21.466788093712747;25.89;16.62040613222192;90.00000000000004;17.159383568311668;0.25;0.7; 
example-5x5-house-0.grid;52.82528244365924;22.441466339490276;16.27;9.909444989503701;68.0;20.231987873991358;0.5;0.5; 
example-5x5-house-0.grid;59.84006581391784;24.51447574070502;14.29;9.481872178003666;70.66666666666666;19.45364861521983;0.75;0.1; 
example-5x5-house-0.grid;60.73975617396773;24.63941078569679;13.74;9.687744835615769;63.66666666666668;17.381343765978254;0.5;0.8; 
example-5x5-house-0.grid;60.96920895110966;24.207334608560398;14.02;9.26064792549636;74.50000000000001;19.9241617696259;0.75;0.2; 
example-5x5-house-0.grid;55.175358507343184;26.503682279693912;17.18;13.907825135512741;66.83333333333336;20.068632240389483;0.5;0.7; 
example-5x5-house-0.grid;62.84040877737975;24.011741912569388;13.25;10.53031338565002;66.50000000000001;18.63315444159803;0.75;0.4; 
example-5x5-house-0.grid;59.50256243992236;23.821812981302713;13.98;8.827207939093766;67.66666666666666;18.681541692269406;0.75;0.3; 
example-5x5-house-0.grid;80.0;0.0;9.0;0.0;100.0;0.0;0;0.9; 
example-5x5-house-0.grid;53.24973737732372;24.990821860796462;17.4;10.960839383915815;78.33333333333333;21.01586702153082;0.75;0.6; 
example-5x5-house-0.grid;56.085169419465394;24.470352676127852;16.05;11.939325776608996;69.16666666666667;19.202864369671524;0.75;0.5; 
example-5x5-house-0.grid;70.82597402597406;15.41854666980033;10.43;3.2749198463473888;91.83333333333331;18.180422926262683;0.25;0.9; 
example-5x5-house-0.grid;57.492566388021785;25.041239628880287;14.76;9.283447635442343;63.83333333333333;17.00571799261779;0.5;0.9; 
example-5x5-house-0.grid;42.46512600514079;27.512553974706353;27.05;19.387818340390957;80.16666666666666;19.104246183040622;0.75;0.7; 
example-5x5-house-0.grid;56.468394246735045;25.089771226651372;16.07;11.466695251902355;68.5;17.30366049905819;0.75;0.8; 
example-5x5-house-0.grid;59.97352127647442;25.532702874471564;14.39;10.659169761290041;64.83333333333334;17.778732613247023;0.75;0.9;
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;796.0;0.0;50.0;0.0;0;0; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;796.0;0.0;50.0;0.0;0;0.1; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.2; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.4; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.5; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.3; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.6; 
example-5x5-house-0.grid;0.9987515605493124;1.1102230246251565e-16;795.0;0.0;33.33333333333337;0.0;0;0.7; 
